id,name,latitude,longitude,capacity,connector_types,status,source
osm-node-763446417,Charging station #763446417,18.496101,73.8088593,,Charging station,operational,OpenStreetMap
osm-node-1024717983,Cycle Kiosk / E-Vehicle Recharge,12.0010333,79.8100656,,Charging station,operational,OpenStreetMap
osm-node-2636339970,tata,17.7085964,83.3107898,50,Charging station,operational,OpenStreetMap
osm-node-3485765661,BMW,16.511133,80.6192659,20,Charging station,operational,OpenStreetMap
osm-node-3612553734,Charging station #3612553734,17.3649588,78.4749286,,Charging station,operational,OpenStreetMap
osm-node-4376874204,PRSANNA,19.9245214,79.3168107,,Charging station,operational,OpenStreetMap
osm-node-4376876211,Charging station #4376876211,19.9677547,79.308204,,Charging station,operational,OpenStreetMap
osm-node-4376876214,INDIAN OILS,19.9584753,79.3164742,,Charging station,operational,OpenStreetMap
osm-node-4376877604,Hindustan petroleum,19.9503234,79.2979527,,Charging station,operational,OpenStreetMap
osm-node-4376878409,Charging station #4376878409,25.8275913,80.568888,,Charging station,operational,OpenStreetMap
osm-node-4434163189,Elanthikkara,10.1796957,76.2673207,,Charging station,operational,OpenStreetMap
osm-node-4845919917,Tata power,17.7131833,83.298845,50,Charging station,operational,OpenStreetMap
osm-node-5295274409,voltran,17.8384022,82.9994147,10,Charging station,operational,OpenStreetMap
osm-node-5295276530,Ather,17.840483,82.9998377,10,Charging station,operational,OpenStreetMap
osm-node-5305546325,KPTCL,16.8129246,75.7157248,,Charging station,operational,OpenStreetMap
osm-node-5694140128,Charging station #5694140128,28.555381,77.228418,,Charging station,operational,OpenStreetMap
osm-node-6116153836,Charging station #6116153836,18.567214,73.7719864,,Charging station,operational,OpenStreetMap
osm-node-6128146875,Charging station #6128146875,16.8075405,77.1444785,,Charging station,operational,OpenStreetMap
osm-node-6128170285,Charging station #6128170285,16.8860925,76.9843397,,Charging station,operational,OpenStreetMap
osm-node-6305362606,Charging station #6305362606,12.0045118,79.8007503,,Charging station,operational,OpenStreetMap
osm-node-6404118987,Energy Efficiency Services Limited (EESL),28.6336834,77.2219946,1,Charging station,operational,OpenStreetMap
osm-node-6404118988,Energy Efficiency Services Limited (EESL),28.6336147,77.2218243,2,Charging station,operational,OpenStreetMap
osm-node-6562168075,Charging station #6562168075,28.9311189,77.099711,,Charging station,operational,OpenStreetMap
osm-node-6757221285,ZEVFY,26.719541,88.4239516,,Charging station,operational,OpenStreetMap
osm-node-6761961056,Charging station #6761961056,28.6341092,77.2202799,1,Charging station,operational,OpenStreetMap
osm-node-6761961057,Energy Efficiency Services Limited (EESL),28.633798,77.2208339,1,Charging station,operational,OpenStreetMap
osm-node-6769723885,Solar Powered Charging Station,11.9808709,79.7768883,,Charging station,operational,OpenStreetMap
osm-node-6798121626,C.S.R. Hospital,17.706036,83.3068947,5,Charging station,operational,OpenStreetMap
osm-node-6918479540,Charging station #6918479540,28.5854347,77.2203893,,Charging station,operational,OpenStreetMap
osm-node-6918479558,Charging station #6918479558,28.587056,77.2120476,,Charging station,operational,OpenStreetMap
osm-node-6961442929,Charging station #6961442929,28.5865591,77.1934263,,Charging station,operational,OpenStreetMap
osm-node-6961442954,Charging station #6961442954,28.5866112,77.1934058,,Charging station,operational,OpenStreetMap
osm-node-6988161557,Charging station #6988161557,28.6342608,77.2206422,,Charging station,operational,OpenStreetMap
osm-node-6988161559,Charging station #6988161559,28.634276,77.2209612,,Charging station,operational,OpenStreetMap
osm-node-7083796927,Charging station #7083796927,28.6350123,77.2197325,,Charging station,operational,OpenStreetMap
osm-node-7083916144,EESL,28.6341151,77.217651,1,Charging station,operational,OpenStreetMap
osm-node-7123744187,Charging station #7123744187,10.6488315,76.0710605,,Charging station,operational,OpenStreetMap
osm-node-7241502289,Afzal,17.8029367,73.1020851,,Charging station,operational,OpenStreetMap
osm-node-7274257107,Charging station #7274257107,28.6327684,77.2228545,1,Charging station,operational,OpenStreetMap
osm-node-7333964934,Essar petrol pump,9.4781662,76.5861987,,Charging station,operational,OpenStreetMap
osm-node-7334004308,Hindhusthan petrolium,9.4772838,76.5817059,,Charging station,operational,OpenStreetMap
osm-node-7387205059,FCS,28.6680488,77.3739552,,Charging station,operational,OpenStreetMap
osm-node-7387324503,FCS -2,28.6699882,77.3792992,20,Charging station,operational,OpenStreetMap
osm-node-7387335133,FCS,28.6669889,77.3716593,,Charging station,operational,OpenStreetMap
osm-node-7554422920,GBU- CHARGING STATION,28.4245314,77.5209704,,Charging station,operational,OpenStreetMap
osm-node-7570518867,BISRAKH FCS,28.5747161,77.4453156,,Charging station,operational,OpenStreetMap
osm-node-7572304299,BOTANICAL FCS,28.5651948,77.3343937,,Charging station,operational,OpenStreetMap
osm-node-8189928160,Tata power,17.7163716,83.326209,50,Charging station,operational,OpenStreetMap
osm-node-8212529301,tata power,17.710847,83.3011276,50,Charging station,operational,OpenStreetMap
osm-node-8286066651,KSEB charging station,8.8926952,76.5790255,2,DC capable,operational,OpenStreetMap
osm-node-8836770673,KEL Charging Station,9.9488824,76.383094,,Charging station,operational,OpenStreetMap
osm-node-8893808042,Electric Vehicle Charging Station,8.4810673,76.9126537,,Charging station,operational,OpenStreetMap
osm-node-8901628132,ELECTRICITY HOUSE,27.8943813,78.0735323,,Charging station,operational,OpenStreetMap
osm-node-8919501650,Tata Motors True Sai Works FC,11.6828829,78.1260507,25,Charging station,operational,OpenStreetMap
osm-node-8919511936,Zeon Charging Navakkarai,10.8559725,76.8624485,50,Charging station,operational,OpenStreetMap
osm-node-8948790096,Plug N Go,28.6214714,77.2936333,,Charging station,operational,OpenStreetMap
osm-node-9096832477,Ather Energy Charging Point,9.9804506,76.317433,,Charging station,operational,OpenStreetMap
osm-node-9104747115,Charging station #9104747115,28.5288838,77.2137728,,Charging station,operational,OpenStreetMap
osm-node-9202909866,Ather Charging Grid,12.975668,77.6413089,8,Charging station,operational,OpenStreetMap
osm-node-9204462345,veev,11.3300012,76.902597,,DC capable,operational,OpenStreetMap
osm-node-9204495608,srt tata ev charging station,11.022897,76.9515473,2,DC capable,operational,OpenStreetMap
osm-node-9215039103,Fortum EV Charger,19.2329576,72.9760606,1,Charging station,operational,OpenStreetMap
osm-node-9237403818,Charging station #9237403818,28.630944,77.2233578,,Charging station,operational,OpenStreetMap
osm-node-9237403820,Charging station #9237403820,28.6310563,77.2230955,,Charging station,operational,OpenStreetMap
osm-node-9252505223,PowerGrid Charging Station,19.0245243,73.0135121,,Charging station,operational,OpenStreetMap
osm-node-9411828530,Ather Energy,18.5071941,73.8037729,,Charging station,operational,OpenStreetMap
osm-node-9508125095,Ather Charging Station,11.1380148,76.9405241,1,Charging station,operational,OpenStreetMap
osm-node-9524427359,TATA Charging Station,10.0773023,76.3376442,,Charging station,operational,OpenStreetMap
osm-node-9527221544,veev,11.3217865,76.9162515,2,DC capable,operational,OpenStreetMap
osm-node-9527967749,Charging station #9527967749,13.0415766,77.6204588,,Charging station,operational,OpenStreetMap
osm-node-9529343817,Charging station #9529343817,27.2708197,78.0407736,,Charging station,operational,OpenStreetMap
osm-node-9684753376,Charging station #9684753376,28.6040475,77.1977963,,Charging station,operational,OpenStreetMap
osm-node-9684753377,Charging station #9684753377,28.6040394,77.1977808,,Charging station,operational,OpenStreetMap
osm-node-9684753378,Charging station #9684753378,28.6040316,77.1977661,,Charging station,operational,OpenStreetMap
osm-node-9717918117,Electric vehicle charging station,22.5408647,88.3680476,,Charging station,operational,OpenStreetMap
osm-node-9717920317,Electric vehicle chargeing station,22.5665448,88.3521064,,Charging station,operational,OpenStreetMap
osm-node-9717923217,Electric vehicle charging station tata,22.5475251,88.3495487,,Charging station,operational,OpenStreetMap
osm-node-9717925317,Electric Vehicle Charging Station,22.5813902,88.3421409,,Charging station,operational,OpenStreetMap
osm-node-9739308831,EV Charging station,9.5798915,76.9697219,,Charging station,operational,OpenStreetMap
osm-node-9739382793,Charging station #9739382793,28.5483686,77.2547221,,Charging station,operational,OpenStreetMap
osm-node-9739382794,Charging station #9739382794,28.5482674,77.2545695,,Charging station,operational,OpenStreetMap
osm-node-9739382795,Charging station #9739382795,28.5483966,77.2547099,,Charging station,operational,OpenStreetMap
osm-node-9740697395,Charging station #9740697395,31.2197083,75.7769537,,Charging station,operational,OpenStreetMap
osm-node-9780694390,Zeon Charging station,11.5193364,77.9350619,50,DC capable,operational,OpenStreetMap
osm-node-9780784996,Zeon Charging station,11.7783495,78.1987759,22,Charging station,operational,OpenStreetMap
osm-node-9793208900,EV Charging Station,22.4628605,72.1589043,,Charging station,operational,OpenStreetMap
osm-node-9796873472,BESCOM,12.9947371,77.6993007,2,Charging station,operational,OpenStreetMap
osm-node-9811396097,Charging station #9811396097,12.9775829,77.6389895,,Charging station,operational,OpenStreetMap
osm-node-9837771580,Electric Vehicle Charging Station,23.3962613,85.314143,,Charging station,operational,OpenStreetMap
osm-node-9837771581,Electric Vehicle Charging Station,23.371942,85.3261981,,Charging station,operational,OpenStreetMap
osm-node-9917415768,Charging station #9917415768,12.9733967,77.6357561,,Charging station,operational,OpenStreetMap
osm-node-9917415769,Charging station #9917415769,12.9733738,77.6357554,,Charging station,operational,OpenStreetMap
osm-node-9952180939,Autocraft charging,9.6338138,76.3336507,,Charging station,operational,OpenStreetMap
osm-node-9952802373,ElectriVa,28.5692695,77.1884585,,Charging station,operational,OpenStreetMap
osm-node-9952802374,ElectriVa,28.5692799,77.1883649,,Charging station,operational,OpenStreetMap
osm-node-9956403209,Zeon Charging Station,11.7553892,78.0509746,,DC capable,operational,OpenStreetMap
osm-node-9956542246,Zeon Charging Station,11.4925016,78.1536802,50,Charging station,operational,OpenStreetMap
osm-node-9992403939,Charging station #9992403939,13.1085033,80.2810805,,Charging station,operational,OpenStreetMap
osm-node-10000890138,Tata Power,17.273827,74.1802556,4,DC capable,operational,OpenStreetMap
osm-node-10008994593,Charging station #10008994593,28.622372,77.290246,,Charging station,operational,OpenStreetMap
osm-node-10008994594,Charging station #10008994594,28.6223602,77.2902508,,Charging station,operational,OpenStreetMap
osm-node-10013758817,Tata power,18.6111535,73.7831554,2,Charging station,operational,OpenStreetMap
osm-node-10036499344,Charging station #10036499344,13.0317217,80.2419487,,Charging station,operational,OpenStreetMap
osm-node-10048789353,Sai Krupa,19.3480213,74.2068907,2,Charging station,operational,OpenStreetMap
osm-node-10049044828,Car Mall,19.9518444,73.7539002,2,DC capable,operational,OpenStreetMap
osm-node-10050798916,Hotel Sanskruti,19.97183,73.6802627,2,DC capable,operational,OpenStreetMap
osm-node-10053873979,Laxmi Refreshments,19.3166356,74.1749919,1,DC capable,operational,OpenStreetMap
osm-node-10055287289,Shridha,18.9913873,73.9427761,2,Charging station,operational,OpenStreetMap
osm-node-10089151842,ElectriVa,28.5426954,77.2219126,4,Charging station,operational,OpenStreetMap
osm-node-10097434142,Bolt,18.5095633,73.8147009,8,Charging station,operational,OpenStreetMap
osm-node-10097434143,Ather Energy,18.5105681,73.781902,1,Charging station,operational,OpenStreetMap
osm-node-10097434144,Ather Energy,18.4844962,73.8496753,1,Charging station,operational,OpenStreetMap
osm-node-10097460085,Ather Energy,18.5189771,73.8304638,,Charging station,operational,OpenStreetMap
osm-node-10115952217,Electric vehicle charging station,22.6075228,88.3922575,,Charging station,operational,OpenStreetMap
osm-node-10115962717,Electric vehicle charging station 20kw &7kw,22.5093598,88.3674117,,Charging station,operational,OpenStreetMap
osm-node-10121102748,Indian oil mammoodu,9.4804068,76.599247,,Charging station,operational,OpenStreetMap
osm-node-10137291010,Zeon Charging,12.9069204,78.9619166,50,Charging station,operational,OpenStreetMap
osm-node-10177662896,Charging station #10177662896,12.9137732,77.6441735,1,Charging station,operational,OpenStreetMap
osm-node-10178076779,Charging station #10178076779,13.1973512,77.7076171,,Charging station,operational,OpenStreetMap
osm-node-10197717353,Charging station #10197717353,9.9732863,78.2159576,,Charging station,operational,OpenStreetMap
osm-node-10203122676,Statiq Nandagav,18.6186752,72.9004606,,Charging station,operational,OpenStreetMap
osm-node-10205648223,Go e go,18.6433491,72.8762211,4,Charging station,operational,OpenStreetMap
osm-node-10240014908,Charging station #10240014908,28.633573,77.2234733,,Charging station,operational,OpenStreetMap
osm-node-10241768254,Charging station #10241768254,28.5903206,77.2201483,,Charging station,operational,OpenStreetMap
osm-node-10241775591,Charging station #10241775591,28.5902808,77.2197587,,Charging station,operational,OpenStreetMap
osm-node-10241805232,Charging station #10241805232,28.5903207,77.2201225,,Charging station,operational,OpenStreetMap
osm-node-10241808063,Charging station #10241808063,28.5903054,77.2199561,,Charging station,operational,OpenStreetMap
osm-node-10250046452,Tata,18.5536336,73.806562,2,Charging station,operational,OpenStreetMap
osm-node-10258816479,Charging station #10258816479,9.4166463,76.5755312,,Charging station,operational,OpenStreetMap
osm-node-10285005409,Maa Tara Fuel Centre,25.6536964,87.3612525,,Charging station,operational,OpenStreetMap
osm-node-10285393622,Tata Power,18.9561767,73.1627884,1,Charging station,operational,OpenStreetMap
osm-node-10285406628,Jio-BP,19.0874903,73.0796316,2,Charging station,operational,OpenStreetMap
osm-node-10290789663,Charging station #10290789663,18.5788787,73.7624887,,Charging station,operational,OpenStreetMap
osm-node-10293872605,inGO,12.9712776,77.6078832,,Charging station,operational,OpenStreetMap
osm-node-10294506356,Charging station #10294506356,12.9764825,77.6268299,,Charging station,operational,OpenStreetMap
osm-node-10553764693,Charging station #10553764693,19.1597944,72.858293,,Charging station,operational,OpenStreetMap
osm-node-10553919109,Electric Vehicle Charging Station,22.5942498,88.4719544,,Charging station,operational,OpenStreetMap
osm-node-10553919709,Electric Vehicle Charging Station,22.5994781,88.4719664,,Charging station,operational,OpenStreetMap
osm-node-10553919710,Electric Vehicle Charging Station,22.5845228,88.4908908,,Charging station,operational,OpenStreetMap
osm-node-10553924809,Mahindra Charging Station,22.5785223,88.4529998,,Charging station,operational,OpenStreetMap
osm-node-10553925409,EESL Charging Station,22.5785173,88.4526568,,Charging station,operational,OpenStreetMap
osm-node-10553967709,Electric Vehicle Charging Station,22.5815869,88.4481696,,Charging station,operational,OpenStreetMap
osm-node-10554039609,Electric Vehicle Charging Station,22.6606704,88.4418053,,Charging station,operational,OpenStreetMap
osm-node-10554040909,Electric Vehicle Charging Station,22.6308074,88.4217376,,Charging station,operational,OpenStreetMap
osm-node-10564130631,Charging station #10564130631,28.6003513,77.2267809,,Charging station,operational,OpenStreetMap
osm-node-10564291409,Electric Vehicle Charging Station,22.6256458,88.4131756,,Charging station,operational,OpenStreetMap
osm-node-10573903209,Charging station #10573903209,11.3021696,77.600583,,Charging station,operational,OpenStreetMap
osm-node-10576228241,Charging station #10576228241,28.596925,77.2229085,,Charging station,operational,OpenStreetMap
osm-node-10593602327,Charging station #10593602327,28.4188726,77.0392065,,Charging station,operational,OpenStreetMap
osm-node-10596152553,Charging station #10596152553,11.1824544,77.2845422,,DC capable,operational,OpenStreetMap
osm-node-10609400587,Charging station #10609400587,26.4783538,80.3149431,,Charging station,operational,OpenStreetMap
osm-node-10615755147,Trimurti Motors,18.5114349,73.7770341,1,Charging station,operational,OpenStreetMap
osm-node-10617217605,Tata EZ power Charging station,10.2456298,76.3698488,,Charging station,operational,OpenStreetMap
osm-node-10661050413,Electric vehicle charging,9.5923007,76.5252561,,Charging station,operational,OpenStreetMap
osm-node-10671202586,Shell,18.5857278,73.7817517,3,Charging station,operational,OpenStreetMap
osm-node-10694479767,Charging station #10694479767,28.563383,77.2647745,2,Charging station,operational,OpenStreetMap
osm-node-10703875766,Charging station #10703875766,28.7263595,77.1628441,,Charging station,operational,OpenStreetMap
osm-node-10719100420,Charging station #10719100420,18.6170757,73.7673099,1,Charging station,operational,OpenStreetMap
osm-node-10763275239,Magenta ChargeGrid Charging Station,12.9154635,77.6158909,,Charging station,operational,OpenStreetMap
osm-node-10778185195,Charging station #10778185195,21.3830946,80.5815147,2,Charging station,operational,OpenStreetMap
osm-node-10778957417,Charging station #10778957417,28.7242899,77.1802238,,Charging station,operational,OpenStreetMap
osm-node-10797010207,Tata power,18.5998693,73.7548665,,Charging station,operational,OpenStreetMap
osm-node-10797010208,Tata power,18.5995979,73.7548745,,DC capable,operational,OpenStreetMap
osm-node-10827297703,Mahavitaran,19.0671494,73.0075344,,Charging station,operational,OpenStreetMap
osm-node-10830973004,Charging station #10830973004,32.0855844,77.1263081,30,Charging station,operational,OpenStreetMap
osm-node-10841782157,Ather Energy,18.5887644,73.7827295,1,Charging station,operational,OpenStreetMap
osm-node-10844985580,Charging station #10844985580,18.5778315,73.9073489,2,Charging station,operational,OpenStreetMap
osm-node-10870849607,Charging station #10870849607,18.5906635,73.7457888,,Charging station,operational,OpenStreetMap
osm-node-10905351902,Charging station #10905351902,28.6342282,77.2195272,,Charging station,operational,OpenStreetMap
osm-node-10908485585,Charging station #10908485585,28.6993047,77.203949,,Charging station,operational,OpenStreetMap
osm-node-10908485595,Charging station #10908485595,28.6992861,77.203999,,Charging station,operational,OpenStreetMap
osm-node-10917018646,Ather grid,11.2870573,76.9637875,,Charging station,operational,OpenStreetMap
